municipality_id,source_url,dimension,evidence_status,quoted_evidence,page_or_section,coder_notes
mun-amsterdam,https://algoritmeregister.amsterdam.nl/,D1_programme_ownership,partial_or_indirect_signal,Gemeente Amsterdam,Register index cards,"coding_unit: register_level; publisher org only, no named programme owner or contact"
mun-amsterdam,https://algoritmeregister.amsterdam.nl/,D2_human_oversight_and_review,partial_or_indirect_signal,Impacttoetsen,Register index cards,"coding_unit: register_level; DPIA/IAMA/Ethical Bijsluiter on some cards, many fields empty (Veld niet ingevuld)"
mun-amsterdam,https://algoritmeregister.amsterdam.nl/,D3_prompt_log_and_data_governance,partial_or_indirect_signal,Privacy Quickscan; Privacyverklaring; DPIA,Impacttoetsen field,coding_unit: register_level; assessment labels without linked policy text on index view
mun-amsterdam,https://algoritmeregister.amsterdam.nl/,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,coding_unit: register_level
mun-amsterdam,https://algoritmeregister.amsterdam.nl/,D5_incident_audit_and_lifecycle_accountability,partial_or_indirect_signal,Status: In gebruik; Buiten gebruik; In ontwikkeling,Register index cards,coding_unit: register_level; status enum visible; tie_break: TB-5
mun-amsterdam,https://www.amsterdam.nl/innovatie/digitalisering-technologie/algoritmes-ai/,D1_programme_ownership,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-amsterdam,https://www.amsterdam.nl/innovatie/digitalisering-technologie/algoritmes-ai/,D2_human_oversight_and_review,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-amsterdam,https://www.amsterdam.nl/innovatie/digitalisering-technologie/algoritmes-ai/,D3_prompt_log_and_data_governance,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-amsterdam,https://www.amsterdam.nl/innovatie/digitalisering-technologie/algoritmes-ai/,D4_procurement_and_vendor_stewardship,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-amsterdam,https://www.amsterdam.nl/innovatie/digitalisering-technologie/algoritmes-ai/,D5_incident_audit_and_lifecycle_accountability,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
mun-amsterdam,https://www.amsterdam.nl/innovatie/amsterdamse-visie-ai/,D1_programme_ownership,not_observable_publicly,,,retrieval_status: bot_gated; source text not accessible at coding date
