municipality_id,source_url,source_title,issue_type,severity,recommended_action,notes
mun-amsterdam,https://www.amsterdam.nl/innovatie/digitalisering-technologie/algoritmes-ai/,Algoritmes en AI,retrieval_not_ok,moderate,verify_manually,retrieval_status is bot_gated; automated GET returned HTTP 403 at access_date.
mun-amsterdam,https://www.amsterdam.nl/innovatie/amsterdamse-visie-ai/,Amsterdamse Visie op AI,retrieval_not_ok,moderate,verify_manually,retrieval_status is bot_gated; primary NL AI policy page not machine-confirmed at access_date.
mun-amsterdam,https://www.amsterdam.nl/innovatie/digitalisering-technologie/algoritmes-ai/,Algoritmes en AI,generic_source,minor,retain_as_context_only,Innovation hub landing page; broader than a standalone AI governance artefact.
mun-amsterdam,https://algoritmeregister.amsterdam.nl/,Amsterdam Algorithm Register,source_type_gap,moderate,verify_manually,Municipality has no procurement document registered in manifest v0.1.
mun-amsterdam,https://algoritmeregister.amsterdam.nl/,Amsterdam Algorithm Register,language_coverage_gap,minor,verify_manually,Tier A screening noted EN material; no English-language row in manifest v0.1.
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial,Ethical use of artificial intelligence,generic_source,minor,retain_as_context_only,Section hub page linking to substantive strategy and protocol documents.
mun-barcelona,https://ajuntament.barcelona.cat/digital/es/hagamos-accesible-la-tecnologia/uso-etico-inteligencia-artificial/uso-etico-de-la-inteligencia,Estrategia municipal de algoritmos y datos para el impulso ético de la inteligencia artificial,content_overlap,minor,keep,Spanish edition parallels English strategy page; define coding unit rules for language variants.
mun-barcelona,https://ajuntament.barcelona.cat/digital/en/technology-accessible-everyone/ethical-use-artificial/ethical-use-artificial-intelligence/municipal,The Municipal Algorithms and Data Strategy for an Ethical Promotion of Artificial Intelligence,source_type_gap,moderate,verify_manually,No procurement document or algorithm register URL registered despite strategy references.
mun-barcelona,https://ajuntament.barcelona.cat/digital/es/hagamos-accesible-la-tecnologia/uso-etico-inteligencia-artificial/uso-etico-de-la-inteligencia,Estrategia municipal de algoritmos y datos para el impulso ético de la inteligencia artificial,language_coverage_gap,minor,verify_manually,Tier A screening noted CA; no Catalan-language manifest row.
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/Borgerrepr%C3%A6sentationen/m%C3%B8de-01022024/referat/punkt-3,Københavns Kommunes digitaliseringsstrategi 2024-2027,generic_source,minor,retain_as_context_only,Broad digitalisation strategy; AI is one focus within wider municipal digitalisation scope.
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/%C3%98konomiudvalget/m%C3%B8de-18022020/referat/punkt-6,Kodeks for anvendelse af kunstig intelligens,document_count_imbalance,moderate,verify_manually,Municipality has 2 manifest rows versus corpus mean 3.8 and maximum 6.
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/%C3%98konomiudvalget/m%C3%B8de-18022020/referat/punkt-6,Kodeks for anvendelse af kunstig intelligens,source_type_gap,moderate,verify_manually,No algorithm register transparency portal or procurement document registered.
mun-copenhagen,https://www.kk.dk/dagsordener-og-referater/%C3%98konomiudvalget/m%C3%B8de-18022020/referat/punkt-6,Kodeks for anvendelse af kunstig intelligens,provenance_risk,minor,verify_manually,Committee record URL points to minutes page; substantive text is in attachments not separately registered.
mun-helsinki,https://ai.hel.fi/,Helsingin kaupungin tekoälyrekisteri,content_overlap,minor,retain_as_context_only,Finnish register homepage overlaps with https://ai.hel.fi/en/ai-register/ as register entry point.
mun-helsinki,https://ai.hel.fi/en/get-to-know-ai-register/,Get to know AI Register,generic_source,minor,retain_as_context_only,Informational explainer page for the AI Register rather than governance policy text.
mun-helsinki,https://ai.hel.fi/eettiset-periaatteet/,Helsingin kaupungin datan ja tekoälyn eettiset periaatteet,content_overlap,minor,keep,Same policy title as paatokset.hel.fi decision record; parallel policy page and decision artefact.
mun-helsinki,https://paatokset.hel.fi/fi/asia/hel-2023-000693,Helsingin kaupungin datan ja tekoälyn eettiset periaatteet,provenance_risk,minor,verify_manually,Decisions portal record; confirm attachment access and relationship to ai.hel.fi policy page before coding.
mun-helsinki,https://ai.hel.fi/en/ai-register/,City of Helsinki AI Register,source_type_gap,moderate,verify_manually,No procurement document registered; relevant to D4 procurement dimension coverage.
mun-vienna,https://www.wien.gv.at/spezial/ki-strategie/,KI-Strategie der Stadt Wien,content_overlap,minor,keep,Portal page parallels English strategy PDF; define primary coding unit.
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/09/1065373-2025_MD-OS_PIKT_KI-Strategie_Sanjath_EN_korr-bf.pdf,City of Vienna AI Strategy,provenance_risk,minor,keep,PDF hosted on digitales.wien.gv.at subdomain; official Stadt Wien digital portal.
mun-vienna,https://digitales.wien.gv.at/ki-kompass-fuer-bedienstete-der-stadt-wien/,Kompass für den dienstlichen Umgang mit generativer Künstlicher Intelligenz (KI),content_overlap,minor,replace_source,Landing page for PDF compass document; prefer PDF as primary artefact if single unit required.
mun-vienna,https://digitales.wien.gv.at/wp-content/uploads/sites/47/2025/07/20250407_AI-Compass_engl.pdf,Compass for the use of generative artificial intelligence (AI) in a work-related context,document_count_imbalance,minor,keep,Municipality has 6 manifest rows versus corpus minimum 2; richest municipal set in v0.1.
mun-vienna,https://www.wien.gv.at/spezial/ki-strategie/,KI-Strategie der Stadt Wien,source_type_gap,moderate,verify_manually,No procurement document algorithm register or committee record registered.
mun-tallinn,https://www.tallinn.ee/en/internationalprojects/betti,BETTI trustworthy GenAI governance project,retrieval_not_ok,moderate,verify_manually,retrieval_status is bot_gated; automated GET returned HTTP 403 at access_date.
mun-tallinn,https://www.tallinn.ee/en/digikaksik/tallinn-digital-twin,Tallinn Digital Twin,retrieval_not_ok,moderate,verify_manually,retrieval_status is bot_gated; automated GET returned HTTP 403 at access_date.
mun-tallinn,https://strateegia.tallinn.ee/,Tallinn 2035 Strategy,generic_source,moderate,retain_as_context_only,City-wide development strategy portal; no standalone AI strategy or policy with ok retrieval in manifest.
mun-tallinn,https://www.tallinn.ee/en/digikaksik/tallinn-digital-twin,Tallinn Digital Twin,generic_source,moderate,retain_as_context_only,Digital-twin programme page; AI governance linkage is indirect.
mun-tallinn,https://strateegia.tallinn.ee/,Tallinn 2035 Strategy,document_count_imbalance,moderate,verify_manually,Three manifest rows with two bot_gated; thinnest AI-specific coverage after Copenhagen.
mun-tallinn,https://strateegia.tallinn.ee/,Tallinn 2035 Strategy,source_type_gap,moderate,verify_manually,No AI strategy AI policy algorithm register procurement document or committee record with ok retrieval.
mun-tallinn,https://strateegia.tallinn.ee/,Tallinn 2035 Strategy,language_coverage_gap,minor,verify_manually,Only one Estonian-language row; no standalone ET AI policy or strategy artefact beyond city strategy portal.
